Rule ID,Ruleset,Name,Force,Scope,Provider Action,Class-Varies,Requirement (Class C),Optional Adoption,Obtain/Mandatory,Maintain,Grace End,Current Process,Current Tool,Gap,Required Change,Status,Owner,Jira,Last Reviewed,Notes
VDR-CSO-ADT,VDR,Automate Detection,SHOULD,all,Yes,No,Providers SHOULD use automated services to improve and streamline vulnerability detection and response.,2026-07-04,2026-12-07,2026-12-07,2027-03-07,Scheduled Nessus scans; PowerShell KEV automation,"Nessus, PowerShell, Task Scheduler",Detection partly automated; the detect-to-evaluate handoff is manual,Automate the enrichment stage that turns a detection into an evaluated finding (IRV/LEV/PAIN),Not Started,<OWNER>,<EPIC-KEY> / <STORY-KEY>,YYYY-MM-DD,
VDR-CSO-AKE,VDR,Avoid KEVs,SHOULD NOT,all,Yes,No,Providers SHOULD NOT deploy or otherwise activate new machine-based information resources with Known Exploited Vulnerabilities.,2026-07-04,2026-12-07,2026-12-07,2027-03-07,Daily KEV detection after deployment,"Nessus, PowerShell",KEV handling is detect-after-the-fact; no pre-deployment gate to avoid introducing KEVs,Add a pre-deploy / golden-image KEV avoidance check so known KEVs are not shipped,Not Started,<OWNER>,<EPIC-KEY> / <STORY-KEY>,YYYY-MM-DD,
VDR-CSO-DAC,VDR,Detect After Changes,SHOULD,all,Yes,No,Providers SHOULD automatically perform vulnerability detection on representative samples of new or significantly changed information resources.,2026-07-04,2026-12-07,2026-12-07,2027-03-07,Periodic scheduled scans,Nessus,Scans not reliably triggered by environment change,"Trigger detection on change events (deploy/config drift), not only on a fixed schedule",Not Started,<OWNER>,<EPIC-KEY> / <STORY-KEY>,YYYY-MM-DD,
VDR-CSO-DET,VDR,Vulnerability Detection,MUST,all,Yes,No,"Providers MUST systematically, persistently, and promptly discover and identify vulnerabilities within their cloud service offering using appropriate techniques such as assessment, scanning, threat intelligence, vulnerability disclosure mechanisms, bug bounties, penetration testing, incident response, automated control testing, supply chain monitoring, and other relevant capabilities; this process is called vulnerability detection. Vulnerability detection includes persistently verifying and validating that information resources and processes are operating as intended and documented for FedRAMP Practices.",2026-07-04,2026-12-07,2026-12-07,2027-03-07,Monthly authenticated scans plus daily KEV scan,"Nessus, Defender",Detection exists but not at the Class C per-resource cadence/coverage required by PSD/PDD/PCD,Ensure detection covers all in-boundary resources at Class C cadence (3/14/monthly per resource type),Not Started,<OWNER>,<EPIC-KEY> / <STORY-KEY>,YYYY-MM-DD,
VDR-CSO-DFR,VDR,Design For Resilience,SHOULD,all,Yes,No,Providers SHOULD make design and architecture decisions for their cloud service offering that mitigate the risk of vulnerabilities by default AND decrease the risk and complexity of vulnerability detection and response.,2026-07-04,2026-12-07,2026-12-07,2027-03-07,Network segmentation and Azure architecture in place,Azure,Resilience that limits single-vulnerability blast radius is not formally documented,Document resilience/segmentation that reduces blast radius; feeds the PAIN estimate,Not Started,<OWNER>,<EPIC-KEY> / <STORY-KEY>,YYYY-MM-DD,
VDR-CSO-FAV,VDR,Failures Are Vulnerabilities,MUST,all,Yes,No,Providers MUST treat problems or failures with their vulnerability detection and response processes as vulnerabilities.,2026-07-04,2026-12-07,2026-12-07,2027-03-07,Coverage gaps tracked ad hoc,"Sentinel, Defender","Detection/telemetry coverage gaps (e.g. hosts outside telemetry, agent gaps) not treated as vulnerabilities",Treat detection and telemetry coverage failures as vulnerabilities in the register and Jira,Not Started,<OWNER>,<EPIC-KEY> / <STORY-KEY>,YYYY-MM-DD,
VDR-CSO-MSP,VDR,Maintain Security,SHOULD NOT,all,Yes,No,"Providers SHOULD NOT weaken the security of information resources to facilitate vulnerability scanning, detection, or assessment activities.",2026-07-04,2026-12-07,2026-12-07,2027-03-07,Change management process,Change-control process,No explicit guard against changes that regress security posture,Add a change-management check that flags posture-reducing changes,Not Started,<OWNER>,<EPIC-KEY> / <STORY-KEY>,YYYY-MM-DD,
VDR-CSO-RES,VDR,Vulnerability Response,MUST,all,Yes,No,"Providers MUST systematically, persistently, and promptly track, evaluate, monitor, mitigate, remediate, assess exploitation of, report, and otherwise manage all detected vulnerabilities within their cloud service offering; this process is called vulnerability response.",2026-07-04,2026-12-07,2026-12-07,2027-03-07,Remediate on CVSS-based SLA from discovery,"Jira <PROJECT>, patch ops","Response prioritized by CVSS, not by PAIN x reachability x exploitability",Drive response off the Class C PVR matrix (PAIN/IRV/LEV) measured from evaluation date,Not Started,<OWNER>,<EPIC-KEY> / <STORY-KEY>,YYYY-MM-DD,
VDR-CSO-SIR,VDR,Sampling,MAY,all,Yes,No,"Providers MAY sample effectively identical information resources, especially machine-based information resources, when performing vulnerability detection UNLESS doing so would decrease the efficiency or effectiveness of vulnerability detection.",2026-07-04,2026-12-07,2026-12-07,2027-03-07,Full scans of all hosts,Nessus,No defined representative sample sets,Optional: define representative sample sets of similar machine resources (supports PSD),Not Started,<OWNER>,<EPIC-KEY> / <STORY-KEY>,YYYY-MM-DD,
VDR-TFR-KEV,VDR,Remediate KEVs,SHOULD,all,Yes,No,Providers SHOULD remediate Known Exploited Vulnerabilities according to the due dates in the CISA Known Exploited Vulnerabilities Catalog (even if the vulnerability has been fully mitigated) as required by CISA Binding Operational Directive (BOD) 26-04 or any successor guidance from CISA.,2026-07-04,2026-12-07,2026-12-07,2027-03-07,"Daily KEV scan, Nessus to Jira to SMTP","Nessus, PowerShell, Jira <PROJECT>","KEV due-date tracking references BOD 22-01 timelines, not BOD 26-04",Align KEV due dates to the BOD 26-04 catalog; remediate by due date even if already mitigated,Not Started,<OWNER>,<EPIC-KEY> / <STORY-KEY>,YYYY-MM-DD,
VDR-TFR-MVF,VDR,Persistent Machine Verification and Validation for Rev5,,rev5,Yes,Yes,Providers of FedRAMP Rev5 Class C offerings MUST verify and validate the status of machine-based information resources at least once every month.,2026-07-04,2026-12-07,2026-12-07,2027-03-07,Verification ad hoc,"Nessus, Azure",No persistent automated machine verification/validation as the Rev5 rule expects,Stand up persistent automated verification/validation of machine resources (Rev5),Not Started,<OWNER>,<EPIC-KEY> / <STORY-KEY>,YYYY-MM-DD,
VDR-TFR-MVX,VDR,Persistent Machine Verification and Validation for 20x,,20x,Yes,Yes,Providers of FedRAMP 20x Class C offerings MUST verify and validate the status of machine-based information resources at least once every 3 days.,2026-07-04,2026-12-07,2026-12-07,2027-03-07,N/A,-,20x-scoped rule; not applicable to the current Rev5 Class C certification,Track under 20x readiness (workstream 09); no action for Rev5,N/A (20x),<OWNER>,N/A (20x),YYYY-MM-DD,
VDR-TFR-NMV,VDR,Non-Machine Verification and Validation,MUST,all,Yes,No,Providers MUST verify and validate the status of non-machine-based information resources at least once every 3 months.,2026-07-04,2026-12-07,2026-12-07,2027-03-07,Non-machine (policy/process) controls reviewed annually,Manual,No 3-month verification cadence for non-machine-based resources,Verify/validate non-machine-based resources at least every 3 months (Class C),Not Started,<OWNER>,<EPIC-KEY> / <STORY-KEY>,YYYY-MM-DD,
VDR-TFR-PCD,VDR,Persistently Complete Detection,,all,Yes,Yes,"Providers with Class C Certifications SHOULD persistently perform vulnerability detection on all information resources that are NOT likely to drift, at least once every month.",2026-07-04,2026-12-07,2026-12-07,2027-03-07,Monthly authenticated scans,Nessus,Monthly cadence likely meets this but full coverage of non-drift resources is unconfirmed,Confirm non-drift resources are detected at least monthly with complete coverage (Class C),Not Started,<OWNER>,<EPIC-KEY> / <STORY-KEY>,YYYY-MM-DD,
VDR-TFR-PDD,VDR,Persistent Drift Detection,,all,Yes,Yes,"Providers with Class C Certifications SHOULD persistently perform vulnerability detection on all information resources that are likely to drift, at least once every 14 days.",2026-07-04,2026-12-07,2026-12-07,2027-03-07,Monthly scan cadence,Nessus,No drift-based detection cadence,Detect on resources likely to drift at least every 14 days (Class C),Not Started,<OWNER>,<EPIC-KEY> / <STORY-KEY>,YYYY-MM-DD,
VDR-TFR-PSD,VDR,Persistent Sample Detection,,all,Yes,Yes,"Providers with Class C Certifications SHOULD persistently perform vulnerability detection on representative samples of similar machine-based information resources, at least once every 3 days.",2026-07-04,2026-12-07,2026-12-07,2027-03-07,Monthly scan cadence,Nessus,Cadence far short of the Class C 3-day requirement for representative samples,Detect on representative samples of similar machine-based resources at least every 3 days,Not Started,<OWNER>,<EPIC-KEY> / <STORY-KEY>,YYYY-MM-DD,
VDR-TFR-PVR,VDR,Mitigation and Remediation Expectations,,all,Yes,Yes,"Providers with Class C Certifications SHOULD partially mitigate vulnerabilities, fully mitigate vulnerabilities, or remediate vulnerabilities to a lower Potential Agency Impact N-rating within the timeframes from evaluation shown below, factoring for the current Potential Agency Impact N-rating as defined in VER-EVA-EPA (Estimate Potential Agency Impact), internet reachability, and likely exploitability:",2026-07-04,2026-12-07,2026-12-07,2027-03-07,CVSS-severity SLAs (30/90/180) from discovery,Jira <PROJECT>,"Remediation clock is CVSS-based from discovery, not PAIN/IRV/LEV from evaluation","Implement the Class C PVR matrix (PAIN x IRV/LEV), clock from evaluation date; rebuild Jira SLA automation",Not Started,<OWNER>,<EPIC-KEY> / <STORY-KEY>,YYYY-MM-DD,
VDR-TFR-RMN,VDR,Remaining Vulnerabilities,SHOULD,all,Yes,No,Providers SHOULD mitigate or remediate remaining vulnerabilities during routine operations as determined necessary by the provider.,2026-07-04,2026-12-07,2026-12-07,2027-03-07,Open vulns tracked in Jira,Jira <PROJECT>,Remaining un-remediated vulns not tracked against the accepted-vuln threshold,Track remaining vulnerabilities toward the 192-day accepted-vulnerability line,Not Started,<OWNER>,<EPIC-KEY> / <STORY-KEY>,YYYY-MM-DD,
VER-EVA-AIA,VER,Assume It's Automatable,MUST,all,Yes,No,Providers MUST assume the exploitation of vulnerabilities can be automated UNLESS they have evidence proving otherwise.,2026-07-04,2026-12-07,2026-12-07,2027-03-07,DR/false-positive determinations assume a benign default,"DR packages, Jira <PROJECT>",Determinations assert the safer state rather than proving it,Default automatable=true; require evidence to claim not-automatable in the DR template,Not Started,<OWNER>,<EPIC-KEY> / <STORY-KEY>,YYYY-MM-DD,
VER-EVA-EFA,VER,Evaluation Factors,SHOULD,all,Yes,No,Providers SHOULD consider at least the following factors when considering the context of the cloud service offering to evaluate detected vulnerabilities:,2026-07-04,2026-12-07,2026-12-07,2027-03-07,Determinations capture limited rationale,DR packages,Evaluation factor analysis is not captured in a structured way,"Capture the EFA factor checklist (Criticality, Reachability, Exploitability, Detectability, Prevalence, Privilege, Proximate Vulns, Known Threats)",Not Started,<OWNER>,<EPIC-KEY> / <STORY-KEY>,YYYY-MM-DD,
VER-EVA-EFP,VER,Evaluate False Positives,SHOULD,all,Yes,No,"Providers SHOULD evaluate detected vulnerabilities, considering the context of the cloud service offering, to determine if they are false positive vulnerabilities.",2026-07-04,2026-12-07,2026-12-07,2027-03-07,Per-finding false-positive / DR determinations,"DR packages, Jira <PROJECT>","FP determination does not carry IRV/LEV/PAIN context, so it can be internally inconsistent",Move FP evaluation into the evaluation stage; require consistency with the IRV/LEV/PAIN analysis,Not Started,<OWNER>,<EPIC-KEY> / <STORY-KEY>,YYYY-MM-DD,
VER-EVA-EIR,VER,Evaluate Internet-Reachability,MUST,all,Yes,No,"Providers MUST evaluate detected vulnerabilities, considering the context of the cloud service offering, to determine if they are internet-reachable vulnerabilities.",2026-07-04,2026-12-07,2026-12-07,2027-03-07,Not done; reachability not recorded,Nessus (no IRV output),Internet-reachability is not formally evaluated or recorded per finding,"Add IRV enrichment from an asset-exposure map (external path, incl. behind proxy/LB/WAF); record IRV",Not Started,<OWNER>,<EPIC-KEY> / <STORY-KEY>,YYYY-MM-DD,
VER-EVA-ELX,VER,Evaluate Exploitability,MUST,all,Yes,No,"Providers MUST evaluate detected vulnerabilities, considering the context of the cloud service offering, to determine if they are likely exploitable vulnerabilities.",2026-07-04,2026-12-07,2026-12-07,2027-03-07,Not done; exploitability not recorded,Nessus (no LEV output),Exploitability is not formally evaluated or recorded per finding,"Add LEV enrichment (KEV, exploit/weaponization signal, privilege/preconditions); record LEV",Not Started,<OWNER>,<EPIC-KEY> / <STORY-KEY>,YYYY-MM-DD,
VER-EVA-EPA,VER,Estimate Potential Agency Impact,MUST,all,Yes,No,"Providers MUST evaluate detected vulnerabilities, considering the context of the cloud service offering, to estimate the potential agency impact of exploitation on government customers AND assign one of the following Potential Agency Impact N-ratings (PAIN):",2026-07-04,2026-12-07,2026-12-07,2027-03-07,Prioritization by CVSS only,Nessus CVSS,No Potential Agency Impact (PAIN N1-N5) rating assigned,Assign PAIN N1-N5 per finding via first-pass scoring plus human confirm,Not Started,<OWNER>,<EPIC-KEY> / <STORY-KEY>,YYYY-MM-DD,
VER-EVA-GRV,VER,Group Vulnerabilities,SHOULD,all,Yes,No,"Providers SHOULD evaluate detected vulnerabilities, considering the context of the cloud service offering, to identify logical groupings of affected information resources that may improve the efficiency and effectiveness of vulnerability response by consolidating further activity; FedRAMP Vulnerability Detection and Response rules are then applied to these consolidated groupings of vulnerabilities instead of each individual detected instance.",2026-07-04,2026-12-07,2026-12-07,2027-03-07,One Jira issue per host per plugin,Jira <PROJECT>,No grouping; volume is per-host-per-plugin,Add a grouping key so one evaluation covers identical instances across sampled resources,Not Started,<OWNER>,<EPIC-KEY> / <STORY-KEY>,YYYY-MM-DD,
VER-RPT-AVI,VER,Accepted Vulnerability Info,MUST,all,Yes,No,Providers MUST include the following information on accepted vulnerabilities when reporting on vulnerability detection and response activity:,2026-07-04,2026-12-07,2026-12-07,2027-03-07,None,-,No separate reporting path for accepted vulnerabilities,Add the accepted-vulnerability field set per the accepted-vulnerability-info JSON schema,Not Started,<OWNER>,<EPIC-KEY> / <STORY-KEY>,YYYY-MM-DD,
VER-RPT-HLO,VER,High-Level Overviews,SHOULD,all,Yes,No,"Providers SHOULD include high-level overviews of ALL vulnerability detection and response activities conducted during this period for the cloud service offering; this includes vulnerability disclosure programs, bug bounty programs, penetration testing, assessments, etc.",2026-07-04,2026-12-07,2026-12-07,2027-03-07,None,-,No high-level overview section in reporting,Add a high-level overview to the human-readable monthly report,Not Started,<OWNER>,<EPIC-KEY> / <STORY-KEY>,YYYY-MM-DD,
VER-RPT-NID,VER,Responsible Disclosure,MUST NOT,all,Yes,No,"Providers MUST NOT irresponsibly disclose specific sensitive information about vulnerabilities that would likely lead to exploitation, but MUST disclose sufficient information for informed risk-based decision-making to all necessary parties.",2026-07-04,2026-12-07,2026-12-07,2027-03-07,Reports not screened for sensitive disclosure,Manual,Report content is not screened against irresponsible disclosure of exploit detail,Add a screening step so reports do not irresponsibly disclose sensitive vulnerability detail,Not Started,<OWNER>,<EPIC-KEY> / <STORY-KEY>,YYYY-MM-DD,
VER-RPT-PER,VER,Persistent Reporting,MUST,all,Yes,No,"Providers MUST report vulnerability detection and response activity (including persistent verification and validation) to all necessary parties persistently, summarizing ALL activity since the previous report; these reports are FedRAMP Certification Data and are subject to FedRAMP Certification Data Sharing rules.",2026-07-04,2026-12-07,2026-12-07,2027-03-07,Periodic count summaries,"PowerShell, SMTP","Reports are point-in-time counts, not persistent lifecycle summaries, and not treated as Certification Data",Produce a persistent report summarizing all activity since the prior report; treat as Certification Data,Not Started,<OWNER>,<EPIC-KEY> / <STORY-KEY>,YYYY-MM-DD,
VER-RPT-RPD,VER,Responsible Public Disclosure,MAY,all,Yes,No,Providers MAY responsibly disclose vulnerabilities publicly or with other parties if the provider determines doing so will NOT likely lead to exploitation.,2026-07-04,2026-12-07,2026-12-07,2027-03-07,None,-,No defined responsible public-disclosure handling,Optional: define if/how responsible public disclosure is handled,Not Started,<OWNER>,<EPIC-KEY> / <STORY-KEY>,YYYY-MM-DD,
VER-RPT-VDT,VER,Vulnerability Details,MUST,all,Yes,No,"Providers MUST include the following information (if applicable) on detected vulnerabilities when reporting on vulnerability detection and response activity, UNLESS it is an accepted vulnerability:",2026-07-04,2026-12-07,2026-12-07,2027-03-07,POA&M-style rows,Jira <PROJECT>,"Records lack the required VDT fields (detection time/source, eval-complete, IRV, LEV, PAIN history, next reduction, overdue, disposition)",Add the VDT field set to Jira and export to the vulnerability-detail JSON schema,Not Started,<OWNER>,<EPIC-KEY> / <STORY-KEY>,YYYY-MM-DD,
VER-TFR-EVU,VER,Evaluate Vulnerabilities Quickly,,all,Yes,Yes,Providers with Class C Certifications SHOULD evaluate ALL vulnerabilities as required by VER-EVA (Evaluation) within 5 days of detection.,2026-07-04,2026-12-07,2026-12-07,2027-03-07,No formal evaluation SLA,Jira <PROJECT>,No 5-day evaluation timer from detection,Add a 5-day evaluation SLA from detection (Class C) with overdue logic,Not Started,<OWNER>,<EPIC-KEY> / <STORY-KEY>,YYYY-MM-DD,
VER-TFR-IRI,VER,Internet-Reachable Incidents,,all,Yes,Yes,Providers with Class C Certifications SHOULD treat internet-reachable likely exploitable vulnerabilities where Potential Agency Impact N-rating > 3 as a FedRAMP Reportable Incident until they are partially mitigated vulnerabilities at N3 or below.,2026-07-04,2026-12-07,2026-12-07,2027-03-07,Incidents promoted manually,"Sentinel, Jira <PROJECT>",No auto-promotion of high-impact reachable findings to incidents,Auto-flag N4/N5 internet-reachable + likely-exploitable as candidate Reportable Incident (Class C SHOULD) into the Sentinel-to-Jira path,Not Started,<OWNER>,<EPIC-KEY> / <STORY-KEY>,YYYY-MM-DD,
VER-TFR-MAV,VER,Mark Accepted Vulnerabilities,MUST,all,Yes,No,Providers MUST categorize any vulnerability that is not or will not be fully mitigated or remediated within 192 days of evaluation as an accepted vulnerability.,2026-07-04,2026-12-07,2026-12-07,2027-03-07,None,Jira <PROJECT>,No categorization of vulns past the accepted-vulnerability threshold,Auto-categorize vulns not fully mitigated within 192 days of evaluation as accepted,Not Started,<OWNER>,<EPIC-KEY> / <STORY-KEY>,YYYY-MM-DD,
VER-TFR-MHR,VER,Monthly Activity Report,MUST,all,Yes,No,Providers MUST report vulnerability detection and response activity to all necessary parties in a consistent format that is human readable at least monthly.,2026-07-04,2026-12-07,2026-12-07,2027-03-07,Weekly/monthly count summary emailed,"PowerShell, SMTP","Summary is counts, not a full evaluate/mitigate lifecycle report",Produce a human-readable activity report at least monthly covering the full lifecycle,Not Started,<OWNER>,<EPIC-KEY> / <STORY-KEY>,YYYY-MM-DD,
VER-TFR-MRH,VER,Historical Activity,,all,Yes,Yes,"Providers with Class C Certifications SHOULD make all recent historical vulnerability detection and response activity available in JSON format for automated retrieval by all necessary parties (e.g. using an API service or similar); this information SHOULD be updated persistently, at least once every 14 days.",2026-07-04,2026-12-07,2026-12-07,2027-03-07,None,-,No machine-readable historical activity feed,Produce historical VER activity per the historical-ver-activity JSON schema,Not Started,<OWNER>,<EPIC-KEY> / <STORY-KEY>,YYYY-MM-DD,
VER-TFR-NRI,VER,Non-Internet-Reachable Incidents,,all,Yes,Yes,Providers with Class C Certifications MAY treat likely exploitable vulnerabilities that are NOT internet-reachable where Potential Agency Impact N-rating = 5 as a FedRAMP Reportable Incident until they are partially mitigated vulnerabilities at N4 or below.,2026-07-04,2026-12-07,2026-12-07,2027-03-07,Incidents promoted manually,"Sentinel, Jira <PROJECT>",No handling of high-impact non-reachable findings as possible incidents,Optional (Class C MAY): flag N5 non-reachable + likely-exploitable for incident consideration,Not Started,<OWNER>,<EPIC-KEY> / <STORY-KEY>,YYYY-MM-DD,
CCM-AGM-CSC,CCM,Consider Security Category,SHOULD,all,No,No,"Agencies SHOULD consider the Security Category noted in their Authorization to Operate of the federal information system that includes the cloud service offering in its boundary and assign appropriate information security resources for reviewing Ongoing Certification Reports, attending Quarterly Reviews, and other ongoing FedRAMP Certification Data.",2026-07-04,2027-01-01,2027-01-01,(per ruleset; confirm),,,,,Not Started,<OWNER>,,YYYY-MM-DD,
